545	786	1
777	498	1
777	519	1
777	690	1
777	714	1
777	777	1
777	786	1
777	789	1
777	889	1
777	927	1
777	1545	1
777	1550	1
786	447	1
786	448	1
786	489	2
786	498	1
786	509	1
786	518	1
786	519	2
786	531	1
786	558	11
786	572	2
786	600	1
786	611	1
786	616	1
786	617	1
786	624	1
786	628	2
786	641	5
786	642	1
786	663	2
786	703	1
786	706	1
786	708	1
786	713	1
786	714	1
786	730	1
786	735	1
786	762	1
786	775	1
786	777	3
786	807	1
786	817	1
786	823	1
786	825	1
786	835	1
786	854	2
786	927	1
786	928	1
786	936	1
786	995	1
786	1066	1
786	1067	1
786	1068	1
786	1071	1
786	1079	1
786	1300	1
786	1310	1
786	1325	1
786	1334	1
786	1492	1
786	1545	1
786	1548	3
786	1550	1
786	1583	1
786	1584	1
786	1586	2
786	1619	1
786	2362	15
786	2366	1
786	3354	1
786	4223	1
786	5986	1
786	5992	1
786	10759	1
786	19375	1
786	28251	1
786	39612	1
786	39614	1
786	39620	2
786	39628	1
786	39637	2
786	39640	2
786	39646	3
786	39675	1
786	39678	1
786	39690	1
786	39696	1
786	39697	1
786	39698	1
786	39699	1
786	39717	1
786	39718	1
825	982	1
825	4468	1
825	40597	1
825	40989	1
825	40990	1
1550	1375	1
1550	5293	1
1550	19420	1
1550	34280	1
1550	41008	1
39632	786	1
40976	786	1
40976	20047	1
